epoch,time,train/pose_loss,train/kobj_loss,train/cls_loss,train/color_loss,train/size_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),color_accuracy,acc/color,acc/size,val/pose_loss,val/kobj_loss,val/cls_loss,val/color_loss,val/size_loss,lr/pg0,lr/pg1,lr/pg2
62,2257.75,20.5238,0.15729,2.23455,1.06484,0.66716,0.74838,0.68269,0.72483,0.68899,0.74838,0.68269,0.72483,0.68899,0.92558,0.92558,0,15.3577,0.05266,1.60498,0.68766,0.39607,0.000231909,0.000231909,0.000231909
63,2292.93,20.6323,0.15876,2.21398,1.05534,0.65798,0.76939,0.6633,0.71937,0.68237,0.76939,0.6633,0.71937,0.68237,0.9202,0.9202,0,15.6596,0.05582,1.67598,0.75471,0.43047,0.000231327,0.000231327,0.000231327
64,2328.75,20.3769,0.15064,2.19444,1.03105,0.65202,0.77611,0.69509,0.73175,0.69601,0.77611,0.69509,0.73175,0.69601,0.93316,0.93316,0,15.3602,0.05333,1.50596,0.6482,0.372,0.000230736,0.000230736,0.000230736
65,2364.99,20.2736,0.14958,2.17041,1.00753,0.63895,0.76891,0.70519,0.75106,0.71664,0.76891,0.70519,0.75106,0.71664,0.93233,0.93233,0,15.1853,0.05148,1.52754,0.64552,0.36851,0.000230136,0.000230136,0.000230136
66,2401.51,20.1758,0.14978,2.17263,1.01337,0.64279,0.76789,0.67153,0.72271,0.68966,0.76789,0.67153,0.72271,0.68966,0.91874,0.91874,0,15.3177,0.0528,1.61768,0.71519,0.40949,0.000229528,0.000229528,0.000229528
67,2435.39,20.2561,0.1541,2.14917,0.99794,0.62675,0.76839,0.69727,0.74408,0.70986,0.76839,0.69727,0.74408,0.70986,0.92608,0.92608,0,15.1121,0.05039,1.53867,0.6648,0.38599,0.000228912,0.000228912,0.000228912
68,2469.68,20.1276,0.14952,2.14743,0.98457,0.62813,0.78933,0.70179,0.74681,0.71409,0.78933,0.70179,0.74681,0.71409,0.92539,0.92539,0,15.0739,0.04936,1.50801,0.68067,0.37127,0.000228288,0.000228288,0.000228288
69,2505.65,20.2227,0.15412,2.12064,0.9875,0.62271,0.76347,0.7163,0.74491,0.71205,0.76347,0.7163,0.74491,0.71205,0.93584,0.93584,0,14.8605,0.04872,1.50293,0.61564,0.36205,0.000227655,0.000227655,0.000227655
70,2540.29,19.7931,0.14437,2.10955,0.97306,0.60699,0.76974,0.72272,0.75183,0.71737,0.76974,0.72272,0.75183,0.71737,0.93293,0.93293,0,15.0674,0.04969,1.51143,0.65027,0.38141,0.000227015,0.000227015,0.000227015
71,2574.48,19.9464,0.14504,2.10586,0.96003,0.61225,0.7792,0.71794,0.75928,0.72562,0.7792,0.71794,0.75928,0.72562,0.9373,0.9373,0,14.9433,0.04889,1.44883,0.59634,0.34531,0.000226366,0.000226366,0.000226366
72,2609.65,19.7903,0.14698,2.07766,0.9742,0.60428,0.78588,0.72611,0.7696,0.73668,0.78588,0.72611,0.7696,0.73668,0.94187,0.94187,0,14.7086,0.04702,1.44976,0.59629,0.35067,0.000225709,0.000225709,0.000225709
73,2645.37,19.6645,0.14749,2.10266,0.94747,0.61456,0.77317,0.73048,0.77192,0.73916,0.77317,0.73048,0.77192,0.73916,0.93546,0.93546,0,14.7203,0.04729,1.46978,0.61294,0.35853,0.000225044,0.000225044,0.000225044
74,2680.82,19.5621,0.1455,2.06331,0.95579,0.6012,0.80347,0.72001,0.76927,0.73755,0.80347,0.72001,0.76927,0.73755,0.93251,0.93251,0,14.7314,0.04748,1.44497,0.60326,0.35321,0.000224371,0.000224371,0.000224371
75,2714.52,19.6369,0.14518,2.05982,0.94644,0.59451,0.78453,0.74032,0.76978,0.73637,0.78453,0.74032,0.76978,0.73637,0.93383,0.93383,0,14.7751,0.04842,1.42583,0.60724,0.35057,0.00022369,0.00022369,0.00022369
76,2747.57,19.4569,0.14198,2.0337,0.9303,0.59294,0.80143,0.74251,0.78494,0.75267,0.80143,0.74251,0.78494,0.75267,0.93516,0.93516,0,14.5054,0.0462,1.41089,0.59374,0.34415,0.000223002,0.000223002,0.000223002
77,2780.42,19.378,0.14068,2.0328,0.93167,0.58821,0.79027,0.73361,0.77632,0.74364,0.79027,0.73361,0.77632,0.74364,0.93241,0.93241,0,14.5363,0.04639,1.46855,0.62906,0.36495,0.000222305,0.000222305,0.000222305
78,2814.07,19.432,0.14357,2.02305,0.92413,0.5899,0.80327,0.7381,0.78325,0.75267,0.80327,0.7381,0.78325,0.75267,0.9405,0.9405,0,14.4517,0.04596,1.3895,0.5678,0.3337,0.000221601,0.000221601,0.000221601
79,2848.5,19.3307,0.13911,2.01533,0.90904,0.58516,0.79882,0.74702,0.79125,0.75854,0.79882,0.74702,0.79125,0.75854,0.94018,0.94018,0,14.3508,0.04532,1.36025,0.56875,0.32523,0.000220889,0.000220889,0.000220889
80,2883.49,19.3009,0.13915,2.00673,0.90699,0.58109,0.80896,0.73457,0.78319,0.75164,0.80896,0.73457,0.78319,0.75164,0.94241,0.94241,0,14.2871,0.04456,1.36167,0.56158,0.32456,0.00022017,0.00022017,0.00022017
81,2918.28,19.1876,0.1401,2.00079,0.91004,0.57879,0.8158,0.73918,0.78908,0.75742,0.8158,0.73918,0.78908,0.75742,0.93903,0.93903,0,14.3974,0.04521,1.39712,0.5886,0.35393,0.000219443,0.000219443,0.000219443
82,2952.63,19.0956,0.13863,1.98256,0.88867,0.56296,0.80918,0.74213,0.79095,0.75873,0.80918,0.74213,0.79095,0.75873,0.94078,0.94078,0,14.2055,0.04433,1.37705,0.5739,0.35015,0.000218708,0.000218708,0.000218708
83,2988.78,19.2152,0.13945,1.98068,0.89728,0.56931,0.79106,0.75413,0.79863,0.76671,0.79106,0.75413,0.79863,0.76671,0.94148,0.94148,0,14.2584,0.04454,1.37915,0.57688,0.34054,0.000217966,0.000217966,0.000217966
84,3022.99,19.0245,0.13538,1.9638,0.88302,0.56264,0.80536,0.75567,0.8049,0.77403,0.80536,0.75567,0.8049,0.77403,0.93798,0.93798,0,14.0535,0.04281,1.35732,0.56833,0.33444,0.000217217,0.000217217,0.000217217
85,3058.38,18.8515,0.13544,1.94866,0.88928,0.56461,0.79985,0.76128,0.80274,0.7721,0.79985,0.76128,0.80274,0.7721,0.94205,0.94205,0,14.0482,0.04276,1.35713,0.56819,0.33423,0.00021646,0.00021646,0.00021646
86,3092.03,18.9552,0.13858,1.94916,0.86591,0.55984,0.8114,0.75672,0.80762,0.77559,0.8114,0.75672,0.80762,0.77559,0.94195,0.94195,0,14.0356,0.04259,1.33452,0.54587,0.32639,0.000215696,0.000215696,0.000215696
87,3125.34,18.9595,0.13304,1.9179,0.85982,0.55549,0.8151,0.75361,0.80573,0.77447,0.8151,0.75361,0.80573,0.77447,0.94426,0.94426,0,13.9605,0.04261,1.31221,0.53213,0.31401,0.000214925,0.000214925,0.000214925
88,3160.95,18.7829,0.13426,1.92807,0.8801,0.55477,0.82699,0.74947,0.81022,0.77849,0.82699,0.74947,0.81022,0.77849,0.94335,0.94335,0,13.9616,0.04196,1.33105,0.54067,0.32403,0.000214146,0.000214146,0.000214146
89,3195.5,18.7237,0.13159,1.90855,0.85409,0.55284,0.83464,0.75687,0.81637,0.78493,0.83464,0.75687,0.81637,0.78493,0.94555,0.94555,0,13.9643,0.04182,1.29717,0.52785,0.31618,0.000213361,0.000213361,0.000213361
90,3230.99,18.7637,0.13331,1.9223,0.8538,0.54745,0.81386,0.76775,0.80961,0.77845,0.81386,0.76775,0.80961,0.77845,0.94412,0.94412,0,13.855,0.04136,1.3127,0.53226,0.32847,0.000212568,0.000212568,0.000212568
91,3267.23,18.7133,0.13365,1.89401,0.84783,0.53903,0.81184,0.77757,0.81659,0.78516,0.81184,0.77757,0.81659,0.78516,0.9439,0.9439,0,13.7813,0.041,1.28989,0.53369,0.31675,0.000211769,0.000211769,0.000211769
92,3302.22,18.7247,0.13319,1.90874,0.85489,0.54134,0.81058,0.7653,0.81099,0.77942,0.81058,0.7653,0.81099,0.77942,0.94687,0.94687,0,13.9765,0.04207,1.29028,0.524,0.31423,0.000210963,0.000210963,0.000210963
93,3337.66,18.6117,0.1333,1.90468,0.84946,0.54149,0.82096,0.77486,0.81693,0.78435,0.82096,0.77486,0.81693,0.78435,0.94884,0.94884,0,13.7479,0.04094,1.28403,0.52278,0.31188,0.00021015,0.00021015,0.00021015
94,3373.67,18.4943,0.12926,1.87519,0.82682,0.54045,0.81556,0.77458,0.8132,0.78385,0.81556,0.77458,0.8132,0.78385,0.94815,0.94815,0,13.6478,0.04011,1.27134,0.51407,0.31029,0.00020933,0.00020933,0.00020933
95,3409.13,18.4741,0.12917,1.87199,0.83813,0.52565,0.81849,0.77449,0.81512,0.78483,0.81849,0.77449,0.81512,0.78483,0.94656,0.94656,0,13.7811,0.04076,1.28306,0.52376,0.31766,0.000208503,0.000208503,0.000208503
96,3444.29,18.4029,0.12898,1.87746,0.82147,0.53688,0.81461,0.78705,0.82107,0.79097,0.81461,0.78705,0.82107,0.79097,0.94819,0.94819,0,13.6848,0.04039,1.26128,0.51131,0.30822,0.00020767,0.00020767,0.00020767
97,3478.44,18.339,0.12593,1.84467,0.81914,0.52742,0.81282,0.78532,0.82607,0.79603,0.81282,0.78532,0.82607,0.79603,0.95184,0.95184,0,13.5904,0.0401,1.26699,0.50492,0.30507,0.00020683,0.00020683,0.00020683
98,3513.91,18.3183,0.12969,1.84061,0.81975,0.52504,0.82143,0.78633,0.82991,0.79854,0.82143,0.78633,0.82991,0.79854,0.95208,0.95208,0,13.5199,0.03932,1.26582,0.51889,0.31269,0.000205984,0.000205984,0.000205984
99,3547.74,18.2693,0.12935,1.84722,0.82161,0.52271,0.83145,0.77779,0.82559,0.79575,0.83145,0.77779,0.82559,0.79575,0.95007,0.95007,0,13.4747,0.03941,1.24756,0.50113,0.30536,0.000205131,0.000205131,0.000205131
100,3582.43,18.0744,0.12465,1.83674,0.80352,0.51504,0.83554,0.78305,0.82811,0.79842,0.83554,0.78305,0.82811,0.79842,0.9518,0.9518,0,13.4583,0.03894,1.25068,0.50054,0.30305,0.000204272,0.000204272,0.000204272
101,3616.9,18.0532,0.12146,1.80474,0.80156,0.51133,0.83526,0.77999,0.83076,0.79994,0.83526,0.77999,0.83076,0.79994,0.94922,0.94922,0,13.4825,0.0391,1.24814,0.50218,0.30515,0.000203407,0.000203407,0.000203407
102,3650.03,18.2893,0.12839,1.81897,0.80893,0.51368,0.83006,0.78624,0.8349,0.80527,0.83006,0.78624,0.8349,0.80527,0.95227,0.95227,0,13.4668,0.03894,1.23647,0.50766,0.30602,0.000202535,0.000202535,0.000202535
103,3686.37,18.1074,0.12336,1.80392,0.80787,0.51081,0.82663,0.78674,0.83165,0.8026,0.82663,0.78674,0.83165,0.8026,0.95178,0.95178,0,13.4417,0.03868,1.22666,0.49693,0.30115,0.000201658,0.000201658,0.000201658
104,3719.62,18.1223,0.12537,1.80163,0.79529,0.51558,0.83947,0.78756,0.8373,0.80781,0.83947,0.78756,0.8373,0.80781,0.95305,0.95305,0,13.352,0.03839,1.21245,0.49399,0.29852,0.000200774,0.000200774,0.000200774
105,3753.96,18.131,0.12363,1.78461,0.79485,0.50863,0.83909,0.78808,0.83636,0.80824,0.83909,0.78808,0.83636,0.80824,0.95509,0.95509,0,13.3118,0.038,1.20747,0.4922,0.29528,0.000199884,0.000199884,0.000199884
