epoch,time,train/pose_loss,train/kobj_loss,train/cls_loss,train/color_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),color_accuracy,val/pose_loss,val/kobj_loss,val/cls_loss,val/color_loss,lr/pg0,lr/pg1,lr/pg2
71,1494.55,2.0959,0.14929,0.37111,0.08363,0.85731,0.89629,0.95275,0.92969,0.85731,0.89629,0.95275,0.92969,0.9977,0.72718,0.0159,0.18931,0.02016,0.000226366,0.000226366,0.000226366
72,1515.04,2.07106,0.14516,0.33682,0.08507,0.84609,0.87982,0.94089,0.91981,0.84609,0.87982,0.94089,0.91981,0.99526,0.76374,0.02052,0.24417,0.01378,0.000225709,0.000225709,0.000225709
73,1536.18,2.08353,0.14804,0.34168,0.08396,0.88804,0.93257,0.96731,0.94654,0.88804,0.93257,0.96731,0.94654,1,0.70141,0.01719,0.15689,0.02083,0.000225044,0.000225044,0.000225044
74,1556.93,2.04344,0.14587,0.38289,0.10017,0.89633,0.91647,0.95691,0.94119,0.89633,0.91647,0.95691,0.94119,1,0.71621,0.01627,0.18457,0.02141,0.000224371,0.000224371,0.000224371
75,1578.77,2.01792,0.14098,0.33557,0.06383,0.87303,0.90864,0.95022,0.93597,0.87303,0.90864,0.95022,0.93597,0.99755,0.72348,0.01731,0.2003,0.02556,0.00022369,0.00022369,0.00022369
76,1599.82,1.99392,0.13678,0.32992,0.04815,0.87713,0.91805,0.95588,0.93964,0.87713,0.91805,0.95588,0.93964,0.99294,0.73619,0.0153,0.17724,0.02631,0.000223002,0.000223002,0.000223002
77,1620.64,2.03928,0.14475,0.34725,0.0797,0.87652,0.89251,0.93902,0.92327,0.87652,0.89251,0.93902,0.92327,1,0.70041,0.01533,0.2202,0.02262,0.000222305,0.000222305,0.000222305
78,1641.43,1.89692,0.12801,0.30803,0.0433,0.86074,0.90445,0.96044,0.94213,0.86074,0.90445,0.96044,0.94213,1,0.73048,0.01886,0.18702,0.0199,0.000221601,0.000221601,0.000221601
79,1662.72,1.97371,0.15141,0.32787,0.07716,0.85295,0.90251,0.93676,0.91855,0.85295,0.90251,0.93676,0.91855,1,0.71495,0.01469,0.23665,0.03584,0.000220889,0.000220889,0.000220889
80,1684.88,2.03,0.14476,0.31206,0.07569,0.88141,0.94001,0.96525,0.95163,0.88141,0.94001,0.96525,0.95163,0.99263,0.67243,0.01524,0.16104,0.02295,0.00022017,0.00022017,0.00022017
81,1706.36,1.93302,0.13873,0.31498,0.09516,0.86882,0.91601,0.96165,0.95039,0.86882,0.91601,0.96165,0.95039,0.99531,0.68672,0.0156,0.17476,0.01996,0.000219443,0.000219443,0.000219443
82,1728.45,1.93469,0.13651,0.33544,0.09128,0.87886,0.93041,0.96406,0.95038,0.87886,0.93041,0.96406,0.95038,0.99761,0.66199,0.01519,0.16554,0.02236,0.000218708,0.000218708,0.000218708
83,1749.92,1.93132,0.13746,0.30962,0.05289,0.8712,0.93118,0.95986,0.94572,0.8712,0.93118,0.95986,0.94572,1,0.6469,0.01436,0.1619,0.04686,0.000217966,0.000217966,0.000217966
84,1772.08,1.93634,0.13324,0.32262,0.05385,0.90984,0.91677,0.95925,0.94674,0.90984,0.91677,0.95925,0.94674,1,0.61648,0.01202,0.17019,0.02302,0.000217217,0.000217217,0.000217217
85,1793.7,1.82277,0.11897,0.3032,0.07118,0.90433,0.91277,0.95617,0.94289,0.90433,0.91277,0.95617,0.94289,0.99482,0.63113,0.01569,0.18238,0.02155,0.00021646,0.00021646,0.00021646
86,1814.23,2.02891,0.13385,0.32647,0.08193,0.89612,0.95649,0.97226,0.95737,0.89612,0.95649,0.97226,0.95737,1,0.62172,0.0133,0.1398,0.01768,0.000215696,0.000215696,0.000215696
87,1835.15,1.90171,0.13373,0.3073,0.07856,0.88978,0.9513,0.96592,0.94809,0.88978,0.9513,0.96592,0.94809,0.99761,0.62128,0.01415,0.15218,0.03164,0.000214925,0.000214925,0.000214925
88,1857.72,1.7529,0.11498,0.26253,0.06568,0.89802,0.94769,0.96912,0.94946,0.89802,0.94769,0.96912,0.94946,1,0.61092,0.01375,0.1425,0.01973,0.000214146,0.000214146,0.000214146
89,1879.05,1.84566,0.1225,0.3131,0.06939,0.90255,0.93713,0.96405,0.9493,0.90255,0.93713,0.96405,0.9493,0.99752,0.6421,0.01394,0.15829,0.02128,0.000213361,0.000213361,0.000213361
90,1899.99,1.77805,0.11324,0.29869,0.04123,0.90346,0.95659,0.97213,0.95696,0.90346,0.95659,0.97213,0.95696,0.99756,0.61799,0.01482,0.14113,0.01573,0.000212568,0.000212568,0.000212568
91,1920.46,1.77338,0.11367,0.299,0.05406,0.91001,0.94897,0.98034,0.96491,0.91001,0.94897,0.98034,0.96491,0.99231,0.61506,0.01388,0.1307,0.02712,0.000211769,0.000211769,0.000211769
92,1941.62,1.80469,0.11303,0.28765,0.06154,0.88899,0.94663,0.96869,0.9503,0.88899,0.94663,0.96869,0.9503,1,0.62834,0.01459,0.15295,0.02489,0.000210963,0.000210963,0.000210963
93,1962.43,1.78957,0.12282,0.29049,0.06881,0.89148,0.93674,0.96154,0.94459,0.89148,0.93674,0.96154,0.94459,1,0.62418,0.01566,0.15174,0.03038,0.00021015,0.00021015,0.00021015
94,1983.3,1.79992,0.12183,0.27706,0.04614,0.905,0.94294,0.97122,0.95889,0.905,0.94294,0.97122,0.95889,1,0.60528,0.0119,0.14314,0.02948,0.00020933,0.00020933,0.00020933
95,2003.23,1.87358,0.13268,0.27519,0.0738,0.8955,0.95205,0.96562,0.95228,0.8955,0.95205,0.96562,0.95228,0.99758,0.62416,0.01247,0.13935,0.0279,0.000208503,0.000208503,0.000208503
96,2023.88,1.77144,0.10909,0.28291,0.04186,0.90492,0.92641,0.9697,0.95594,0.90492,0.92641,0.9697,0.95594,0.98985,0.59822,0.01278,0.15518,0.04308,0.00020767,0.00020767,0.00020767
97,2043.79,1.82363,0.11962,0.28895,0.05634,0.90345,0.93467,0.95885,0.9446,0.90345,0.93467,0.95885,0.9446,1,0.58183,0.01297,0.15707,0.01091,0.00020683,0.00020683,0.00020683
